True
True
Loading pretrained_checkpoints/0.025.pth.tar
b
PSNR: 34.30dB
MS-SSIM: 20.05dB
Bit-rate: 1.142bpp
PSNR: 35.73dB
MS-SSIM: 15.70dB
Bit-rate: 0.424bpp
PSNR: 38.55dB
MS-SSIM: 18.98dB
Bit-rate: 0.298bpp
PSNR: 36.30dB
MS-SSIM: 17.47dB
Bit-rate: 0.447bpp
PSNR: 34.93dB
MS-SSIM: 21.13dB
Bit-rate: 1.046bpp
PSNR: 35.40dB
MS-SSIM: 18.44dB
Bit-rate: 0.792bpp
PSNR: 38.16dB
MS-SSIM: 21.30dB
Bit-rate: 0.408bpp
PSNR: 34.15dB
MS-SSIM: 20.43dB
Bit-rate: 1.150bpp
PSNR: 37.76dB
MS-SSIM: 19.11dB
Bit-rate: 0.332bpp
PSNR: 37.49dB
MS-SSIM: 18.72dB
Bit-rate: 0.356bpp
PSNR: 35.49dB
MS-SSIM: 17.90dB
Bit-rate: 0.671bpp
PSNR: 37.12dB
MS-SSIM: 17.06dB
Bit-rate: 0.346bpp
PSNR: 33.24dB
MS-SSIM: 19.65dB
Bit-rate: 1.583bpp
PSNR: 34.65dB
MS-SSIM: 18.80dB
Bit-rate: 0.867bpp
PSNR: 36.67dB
MS-SSIM: 18.05dB
Bit-rate: 0.416bpp
PSNR: 36.50dB
MS-SSIM: 18.11dB
Bit-rate: 0.501bpp
PSNR: 36.88dB
MS-SSIM: 18.87dB
Bit-rate: 0.425bpp
PSNR: 34.42dB
MS-SSIM: 18.00dB
Bit-rate: 0.890bpp
PSNR: 35.76dB
MS-SSIM: 18.00dB
Bit-rate: 0.607bpp
PSNR: 37.39dB
MS-SSIM: 19.38dB
Bit-rate: 0.396bpp
PSNR: 35.76dB
MS-SSIM: 18.83dB
Bit-rate: 0.707bpp
PSNR: 35.07dB
MS-SSIM: 17.12dB
Bit-rate: 0.679bpp
PSNR: 38.55dB
MS-SSIM: 19.04dB
Bit-rate: 0.251bpp
PSNR: 35.08dB
MS-SSIM: 19.63dB
Bit-rate: 0.882bpp
average_PSNR: 36.06dB
average_MS-SSIM: 18.7400
average_Bit-rate: 0.651 bpp
average_time: 0.195 ms
