True
True
Loading pretrained_checkpoints/0.0035.pth.tar
b
PSNR: 27.97dB
MS-SSIM: 13.40dB
Bit-rate: 0.324bpp
PSNR: 31.27dB
MS-SSIM: 10.85dB
Bit-rate: 0.089bpp
PSNR: 33.73dB
MS-SSIM: 14.76dB
Bit-rate: 0.093bpp
PSNR: 31.65dB
MS-SSIM: 12.37dB
Bit-rate: 0.115bpp
PSNR: 28.90dB
MS-SSIM: 14.63dB
Bit-rate: 0.383bpp
PSNR: 29.64dB
MS-SSIM: 12.56dB
Bit-rate: 0.247bpp
PSNR: 33.04dB
MS-SSIM: 16.76dB
Bit-rate: 0.155bpp
PSNR: 28.50dB
MS-SSIM: 15.12dB
Bit-rate: 0.404bpp
PSNR: 33.20dB
MS-SSIM: 15.76dB
Bit-rate: 0.114bpp
PSNR: 32.97dB
MS-SSIM: 14.41dB
Bit-rate: 0.120bpp
PSNR: 30.15dB
MS-SSIM: 12.14dB
Bit-rate: 0.192bpp
PSNR: 32.67dB
MS-SSIM: 12.41dB
Bit-rate: 0.090bpp
PSNR: 26.73dB
MS-SSIM: 12.39dB
Bit-rate: 0.537bpp
PSNR: 29.15dB
MS-SSIM: 12.65dB
Bit-rate: 0.263bpp
PSNR: 31.87dB
MS-SSIM: 13.55dB
Bit-rate: 0.109bpp
PSNR: 31.32dB
MS-SSIM: 12.44dB
Bit-rate: 0.137bpp
PSNR: 32.17dB
MS-SSIM: 13.96dB
Bit-rate: 0.142bpp
PSNR: 29.03dB
MS-SSIM: 12.77dB
Bit-rate: 0.303bpp
PSNR: 30.61dB
MS-SSIM: 12.55dB
Bit-rate: 0.154bpp
PSNR: 32.48dB
MS-SSIM: 14.80dB
Bit-rate: 0.105bpp
PSNR: 30.10dB
MS-SSIM: 14.51dB
Bit-rate: 0.236bpp
PSNR: 29.88dB
MS-SSIM: 11.49dB
Bit-rate: 0.172bpp
PSNR: 34.23dB
MS-SSIM: 14.86dB
Bit-rate: 0.089bpp
PSNR: 29.30dB
MS-SSIM: 13.57dB
Bit-rate: 0.309bpp
average_PSNR: 30.86dB
average_MS-SSIM: 13.5299
average_Bit-rate: 0.203 bpp
average_time: 0.177 ms
