True
True
Loading pretrained_checkpoints/mse_lambda_0.05.pth.tar
b
PSNR: 39.76dB
MS-SSIM: 21.08dB
Bit-rate: 0.513bpp
PSNR: 43.18dB
MS-SSIM: 20.49dB
Bit-rate: 0.191bpp
PSNR: 44.27dB
MS-SSIM: 23.80dB
Bit-rate: 0.207bpp
PSNR: 40.26dB
MS-SSIM: 18.57dB
Bit-rate: 0.385bpp
PSNR: 45.55dB
MS-SSIM: 23.92dB
Bit-rate: 0.151bpp
PSNR: 42.94dB
MS-SSIM: 20.78dB
Bit-rate: 0.243bpp
PSNR: 44.20dB
MS-SSIM: 25.17dB
Bit-rate: 0.243bpp
PSNR: 39.49dB
MS-SSIM: 23.28dB
Bit-rate: 0.638bpp
PSNR: 41.26dB
MS-SSIM: 23.22dB
Bit-rate: 0.398bpp
PSNR: 40.11dB
MS-SSIM: 21.05dB
Bit-rate: 0.510bpp
PSNR: 46.80dB
MS-SSIM: 24.69dB
Bit-rate: 0.100bpp
PSNR: 39.93dB
MS-SSIM: 25.96dB
Bit-rate: 0.562bpp
PSNR: 38.94dB
MS-SSIM: 20.30dB
Bit-rate: 0.616bpp
PSNR: 43.40dB
MS-SSIM: 21.54dB
Bit-rate: 0.141bpp
PSNR: 43.95dB
MS-SSIM: 21.69dB
Bit-rate: 0.151bpp
PSNR: 44.57dB
MS-SSIM: 26.39dB
Bit-rate: 0.202bpp
PSNR: 40.51dB
MS-SSIM: 23.26dB
Bit-rate: 0.551bpp
PSNR: 38.22dB
MS-SSIM: 20.88dB
Bit-rate: 0.789bpp
PSNR: 39.82dB
MS-SSIM: 18.42dB
Bit-rate: 0.403bpp
PSNR: 41.79dB
MS-SSIM: 20.17dB
Bit-rate: 0.255bpp
PSNR: 39.84dB
MS-SSIM: 21.57dB
Bit-rate: 0.537bpp
PSNR: 40.88dB
MS-SSIM: 22.84dB
Bit-rate: 0.478bpp
PSNR: 40.09dB
MS-SSIM: 20.40dB
Bit-rate: 0.413bpp
PSNR: 43.33dB
MS-SSIM: 25.46dB
Bit-rate: 0.299bpp
PSNR: 39.28dB
MS-SSIM: 18.57dB
Bit-rate: 0.491bpp
PSNR: 42.66dB
MS-SSIM: 23.18dB
Bit-rate: 0.250bpp
PSNR: 42.90dB
MS-SSIM: 23.59dB
Bit-rate: 0.240bpp
PSNR: 42.25dB
MS-SSIM: 22.99dB
Bit-rate: 0.346bpp
PSNR: 39.64dB
MS-SSIM: 18.38dB
Bit-rate: 0.497bpp
PSNR: 43.32dB
MS-SSIM: 27.55dB
Bit-rate: 0.271bpp
PSNR: 38.46dB
MS-SSIM: 23.69dB
Bit-rate: 0.799bpp
PSNR: 38.74dB
MS-SSIM: 26.65dB
Bit-rate: 0.887bpp
PSNR: 42.67dB
MS-SSIM: 22.14dB
Bit-rate: 0.265bpp
PSNR: 37.12dB
MS-SSIM: 21.03dB
Bit-rate: 1.144bpp
PSNR: 41.14dB
MS-SSIM: 21.48dB
Bit-rate: 0.351bpp
PSNR: 42.48dB
MS-SSIM: 21.13dB
Bit-rate: 0.218bpp
PSNR: 44.91dB
MS-SSIM: 22.98dB
Bit-rate: 0.152bpp
PSNR: 39.84dB
MS-SSIM: 21.80dB
Bit-rate: 0.477bpp
PSNR: 39.98dB
MS-SSIM: 18.83dB
Bit-rate: 0.357bpp
PSNR: 45.02dB
MS-SSIM: 23.33dB
Bit-rate: 0.148bpp
average_PSNR: 41.59dB
average_MS-SSIM: 22.3063
average_Bit-rate: 0.397 bpp
average_time: 0.728 ms
